"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1980",16.4505817019517,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1981",15.3867600768388,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1982",15.3914653062532,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1983",16.585556661268,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1984",16.648976769677,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1985",15.5053827332239,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1986",16.8084082745921,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1987",17.0356970222905,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1988",17.8138382825644,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1989",16.5973317725573,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1990",14.368531889805,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1991",13.4751167012738,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1992",14.1978399680634,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1993",15.0082405035629,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1994",14.9371461598637,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1995",14.5684391796692,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1996",13.7677934623304,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1997",16.160178325893,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1998",15.8983488161164,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1999",16.0349522762832,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2000",16.6533905228758,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2001",17.0452886604684,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2002",18.7181123979477,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2003",21.2694128743661,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2004",22.6542896772137,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2005",22.7692165728523,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2006",22.0597758894754,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2007",21.2987550060944,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2008",20.9714336343298,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2009",19.6587502687753,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2010",19.8565744198562,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2011",20.1781449434243,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2012",19.2220408040984,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2013",20.0439221483474,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2014",20.815576277118,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2015",21.27056775777,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2016",22.4995625177256,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1970",50.7106661424219,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1971",49.3434074749912,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1972",59.016097735348,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1973",59.9620288908539,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1974",42.7296022435514,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1975",56.5725781395816,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1976",57.3481254210211,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1977",66.4946762009528,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1978",76.259907130337,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1979",76.5116843057695,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1980",67.9891158545209,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1981",60.1389450601376,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1982",58.4257264796946,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1983",64.0225406606695,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1984",46.8816338960432,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1985",51.1951944480631,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1986",62.8495443913025,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1987",63.8084044390708,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1988",59.6971666476493,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1989",55.1764661754527,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1990",56.6351961011888,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1991",55.3436018136384,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1992",47.3486240149909,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1993",45.0761399084603,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1994",42.0153321299778,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1995",41.6329577097793,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1996",40.1725665195688,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1997",36.1076831509975,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1998",37.0804612094372,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","1999",36.2039234424996,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2000",36.3794177467301,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2001",31.9976033863562,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2002",34.2530515351255,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2003",35.5434399032104,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2004",40.9081087327434,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2005",42.1972057653355,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2006",42.3772712466194,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2007",41.6378282151534,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2008",34.064285315469,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2009",31.4623759784587,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2010",28.2265778259043,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2011",30.2671512837511,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2012",24.4522679687345,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2013",18.3029053617595,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2014",8.79823351745988,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2015",6.39299447479649,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2016",5.29541027877048,"E"
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1971",19.3916349809886,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1972",21.1812627291242,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1973",24.5522062035824,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1974",24.271499644634,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1975",22.3611514975284,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1976",22.7575192973117,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1977",17.7102436468431,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1978",17.1414891070146,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1979",16.516041572526,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1980",16.8838635492526,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1981",16.2870945479641,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1982",15.3332552418883,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1983",15.8836454954484,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1984",16.1067731977483,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1985",15.5956350409215,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1986",17.3530043686887,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1987",18.1416803953871,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1988",18.8648866228364,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1989",20.9841170974774,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1990",21.9659423052484,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1991",22.3017292784735,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1992",22.5175025003572,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1993",23.5062655124402,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1994",24.9572383766133,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1995",24.0952689866086,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1996",25.2268602540835,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1997",25.6331840110269,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1998",23.6772607230671,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","1999",25.1201098146877,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2000",22.1715291951815,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2001",20.8670812843506,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2002",25.1222390827854,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2003",27.4526140387419,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2004",27.6401912852983,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2005",26.1111111111111,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2006",26.8404162209472,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2007",26.5485337933197,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2008",22.2783572359844,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2009",22.4146322719471,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2010",22.3969793958792,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2011",22.0739025657988,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2012",25.3086419753086,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2013",27.6005266889497,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2014",28.6355824139269,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2015",30.198045311668,
"NZL","GFCFASSET","DWELLING","PC_GFCF","A","2016",33.0446325945832,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","1995",4.33034100923998,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","1996",4.2184919628579,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","1997",4.95717414783384,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","1998",7.93140945887808,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","1999",12.3307036815579,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2000",16.124912609082,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2001",11.775308698523,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2002",12.0056406039557,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2003",12.7060561849907,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2004",11.6416909823538,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2005",11.0141224143749,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2006",8.94519798419506,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2007",9.4715577356979,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2008",9.83022912995536,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2009",13.8680164341672,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2010",11.6231997862359,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2011",9.93311055735773,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2012",10.9462267253066,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2013",13.030132006682,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2014",10.984402168069,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2015",9.35318325437851,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2016",12.9586865415837,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1980",20.114293272007,"E"
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1981",18.7889315085295,"E"
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1982",18.6506117020207,"E"
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1983",17.7586209298886,"E"
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1984",16.7484201362718,"E"
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1985",16.3111175759027,"E"
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1986",16.4734963025678,"E"
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1987",18.2716828310934,"E"
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1988",18.4066928903399,"E"
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1989",17.5394442085439,"E"
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1990",17.2167362364972,"E"
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1991",16.033932468119,"E"
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1992",15.7296177449887,"E"
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1993",17.148554404024,"E"
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1994",18.9595810001513,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1995",17.6512427313343,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1996",18.5829020860026,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1997",17.1278863764116,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1998",15.356160536609,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","1999",15.5857589424927,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2000",15.5161081884562,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2001",15.2270227559368,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2002",15.6330283185265,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2003",15.6996963272972,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2004",16.0860508547622,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2005",15.547014234329,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2006",15.6810681229373,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2007",14.6886570860849,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2008",14.4281645260204,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2009",13.5452420127701,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2010",13.2478043853263,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2011",13.7499477412612,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2012",13.5260715698635,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2013",14.230351460835,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2014",13.5678196089513,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2015",13.2375813865177,
"JPN","GFCFASSET","DWELLING","PC_GFCF","A","2016",14.0493017755456,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","1995",17.6347923861161,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","1996",17.0853662177358,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","1997",16.2333713164781,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","1998",15.7960098930584,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","1999",13.5339364053359,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2000",14.2262451816235,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2001",12.0930205276299,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2002",12.2701053117044,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2003",13.6930116874788,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2004",14.4444688823219,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2005",14.4546045135156,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2006",17.6909380025878,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2007",21.6855944431787,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2008",21.5647217411638,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2009",19.2347003247278,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2010",16.486820839349,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2011",15.7032142942562,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2012",15.7195368833189,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2013",18.3711159979549,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2014",18.8239481519477,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2015",16.9683321773671,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2016",17.5689894325572,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","1993",12.1965195632387,"E"
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","1994",9.14007823368759,"E"
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","1995",7.13764071516413,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","1996",8.27497737659296,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","1997",9.36200609165609,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","1998",10.8349609748999,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","1999",11.3263590963428,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2000",11.4385212965443,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2001",10.4492398196862,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2002",10.7033299928856,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2003",10.9966563133286,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2004",11.5467169664054,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2005",11.9388785652995,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2006",12.3951599367272,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2007",13.8800671200212,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2008",13.7269996567113,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2009",13.9330232278185,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2010",15.0498271875894,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2011",13.8740994754535,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2012",14.2012447442495,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2013",12.950873780169,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2014",13.3698314231026,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2015",13.5106626128622,
"CZE","GFCFASSET","DWELLING","PC_GFCF","A","2016",14.7729146406711,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","1995",27.8033630831733,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","1996",25.5410605961777,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","1997",25.8228011426982,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","1998",24.0350556590238,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","1999",23.7664664270658,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2000",22.9230880494264,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2001",22.4736979918492,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2002",22.8821686030451,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2003",23.8456278832256,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2004",24.4096549885937,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2005",26.0095078988587,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2006",27.7827021532231,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2007",27.2308107203768,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2008",27.2939643615304,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2009",27.2018512242274,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2010",28.0417369123372,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2011",25.8595434613489,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2012",26.0672188776779,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2013",25.823147623117,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2014",25.8135184578359,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2015",25.2570413381621,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2016",25.2325373829749,
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","1970",31.5560823277943,"E"
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","1971",30.3283780076206,"E"
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","1972",28.8198233388605,"E"
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","1973",27.5270131047486,"E"
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","1974",26.8958674420772,"E"
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","1975",27.7484958301441,"E"
